,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
25,"Buenos Aires, Argentina",2014-01-26,24.9,18.6,21.7,24.9,18.6,21.7,14.5,64.2,0,0,0,,0,0,42.5,22.1,76.8,1016.2,16.4,9.9,361.2,31.1,10,,2014-01-26T06:07:40,2014-01-26T20:03:59,0.85,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
26,"Buenos Aires, Argentina",2014-01-27,27.4,21.8,25.1,29.7,21.8,25.6,20.3,75.4,0,0,0,,0,0,,24,29.3,1012,36.3,10,324.7,28,10,,2014-01-27T06:08:42,2014-01-27T20:03:22,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
27,"Buenos Aires, Argentina",2014-01-28,26,21.9,24,26,21.9,24,21.6,86.4,45.43,100,16.67,rain,0,0,,19,38.5,1008.6,83.1,8.8,170.7,14.7,6,,2014-01-28T06:09:43,2014-01-28T20:02:43,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
28,"Buenos Aires, Argentina",2014-01-29,26.2,22,24.6,26.2,22,24.6,21.4,82.8,0,0,0,,0,0,,21.5,128.8,1012,84.3,9.8,145.7,12.4,5,,2014-01-29T06:10:45,2014-01-29T20:02:03,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
29,"Buenos Aires, Argentina",2014-01-30,29.1,23.1,26.3,32.7,23.1,27.7,22.3,79.1,0,0,0,,0,0,35.3,28.5,352.3,1008.7,55.7,9.5,265.8,22.9,9,,2014-01-30T06:11:46,2014-01-30T20:01:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
30,"Buenos Aires, Argentina",2014-01-31,32,23,27.5,36.7,23,29.5,22.1,73.9,0,0,0,,0,0,,23.8,326.4,1006.2,38.2,10,346.6,30,10,,2014-01-31T06:12:48,2014-01-31T20:00:37,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
31,"Buenos Aires, Argentina",2014-02-01,25.7,21,23.6,25.7,21,23.6,20,80.3,9.946,100,12.5,rain,0,0,46.4,33.4,110.3,1008.3,86.5,9,246,21.3,8,,2014-02-01T06:13:49,2014-02-01T19:59:52,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
32,"Buenos Aires, Argentina",2014-02-02,24,21,22.7,24,21,22.7,19.4,81.8,22.014,100,12.5,rain,0,0,64.8,41.6,5.3,1006,89.6,8.8,137,11.7,5,,2014-02-02T06:14:51,2014-02-02T19:59:05,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
33,"Buenos Aires, Argentina",2014-02-03,23.9,19.9,21.9,23.9,19.9,21.9,19.1,84.2,11.175,100,8.33,rain,0,0,50,33.5,350.6,1007.6,89.9,9.2,103.2,8.9,4,,2014-02-03T06:15:52,2014-02-03T19:58:17,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
34,"Buenos Aires, Argentina",2014-02-04,27,20.7,24.2,28.8,20.7,24.5,20.4,79.9,0,0,0,,0,0,,22.9,35.5,1008.4,54.5,9.4,276,24.1,8,,2014-02-04T06:16:53,2014-02-04T19:57:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
