,temp,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,clusters_description,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,preds,preds_gs,sktime_naive,preds_autoarima,preds_sarimax,0_1_0_0_1_0_12,0_1_0_0_1_1_12,0_1_0_1_1_0_12,0_1_0_1_1_1_12,0_1_1_0_1_0_12,0_1_1_0_1_1_12,0_1_1_1_1_0_12,0_1_1_1_1_1_12,1_1_0_0_1_0_12,1_1_0_0_1_1_12,1_1_0_1_1_0_12,1_1_0_1_1_1_12,1_1_1_0_1_0_12,1_1_1_0_1_1_12,1_1_1_1_1_0_12,1_1_1_1_1_1_12
2023-12-24,13.4,7.0,71.6,0.001,100.0,4.17,0.0,0.0,62.6,35.1,277.5,1008.0,78.9,21.5,14.4,1.3,1.0,10.0,0.3,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,6.0262423,8.852115,14.805607476635515,13.4875686534147,45.405362557736225,17.679692438894563,24.585956249095034,51.7625906266403,32.47372406620343,13.529560877097538,42.40610584048409,49.85504643897366,46.049808981661045,15.3717123325805,42.3677850649583,51.02463134642312,45.4826882677844,9.653477802145062,41.39019050051502,47.86618668964002,45.405362557736225
2023-12-25,12.5,6.5,73.7,0.2,100.0,8.33,0.0,0.0,47.0,34.7,276.6,1012.7,82.6,21.4,15.4,1.4,1.0,10.0,0.34,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,7.3469934,8.426234,14.80747663551402,13.490375431113549,45.547329189685115,16.66115689065191,24.700095019299624,50.86693141586875,32.188563376214006,12.528729585501424,42.4017618180078,48.96643011905326,46.11116514659443,14.361739096879319,42.45791750146236,50.104457671121054,45.582079909800086,8.714040492912318,41.4137225223385,46.98465178517654,45.547329189685115
2023-12-26,8.0,6.6,75.2,0.0,0.0,0.0,0.0,0.0,45.6,30.4,260.5,1013.1,79.3,25.6,22.9,1.9,2.0,10.0,0.37,1.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,8.382524,8.596092,14.809345794392524,13.487602933159646,45.395637867433834,14.57495438350088,25.369160589110834,49.46644315341109,32.89233283209978,10.43681071287574,42.555892852597026,47.57176470709237,46.033044725052605,12.264735908236617,42.54324390221154,48.71259385826852,45.59149724915551,6.63478756828772,41.54979008333976,45.57547154400163,45.395637867433834
2023-12-27,10.5,10.5,82.3,0.602,100.0,16.67,0.0,0.0,54.9,37.0,247.8,1006.2,99.2,21.9,9.8,0.8,1.0,10.0,0.41,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,5.1714783,8.107762,14.811214953271028,13.490341570034076,45.009540432052745,14.450078337038576,24.561014599821647,49.88444810283181,31.979034866162692,10.373271161672164,41.932564296919736,47.9930863266236,45.605133875727915,12.18290349061499,41.94468701144069,49.13808713209801,45.08924431660125,6.596749088319484,40.97447084970918,46.02495077413914,45.009540432052745
2023-12-28,11.7,10.6,88.5,6.967,100.0,50.0,0.0,0.0,50.1,26.8,244.7,1007.1,97.6,15.9,6.6,0.5,0.0,10.0,0.45,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,7.317658,10.050978,14.813084112149532,13.487636380686894,44.940535709854885,17.406355703897134,24.332724808456987,51.2943323237123,32.206263838401355,13.274987324435642,42.07858037277401,49.381669095473626,45.573546114581404,15.104912604459969,41.90968850150239,50.57562549792783,45.112996550331445,9.515888315392658,40.99843782102471,47.40208441105642,44.940535709854885
2023-12-29,9.8,4.7,80.3,0.005,100.0,4.17,0.0,0.0,39.4,20.8,251.8,1015.1,43.0,16.0,18.4,1.5,1.0,10.0,0.48,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,8.920359,8.197112,14.814953271028038,13.49030853100826,44.502329589944566,16.289645001386816,24.03341135837036,50.00219764386566,32.09055271040779,12.059557899876381,41.82821943664385,48.04323553661743,45.167958678033756,13.930441634263843,41.61291998009983,49.239829028701934,44.586333749739424,8.257240949122206,40.65647652319967,46.015085105049366,44.502329589944566
2023-12-30,9.8,8.2,85.8,4.0,100.0,50.0,0.0,0.0,70.1,36.2,199.2,1006.6,91.8,11.5,3.5,0.2,0.0,10.0,0.5,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,9.960598,8.839006,14.816822429906543,13.487669016200392,45.93996818096639,16.48929393301296,24.840474932243524,51.20851858668175,33.20824288926815,12.307549446708435,43.08185248019072,49.25024973085601,46.60446799154306,14.162962495305692,42.884163538932626,50.459776200972556,46.16008951641197,8.460464450821746,42.040199128518,47.241756489442196,45.93996818096639
2023-12-31,8.5,7.4,75.1,0.231,100.0,33.33,0.0,0.0,60.8,36.6,231.3,1004.9,83.7,11.1,21.3,1.8,1.0,10.0,0.55,0.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,9.9207535,9.86764,14.818691588785047,13.490276294078903,46.04031167733774,17.300262570017367,24.67945190849059,52.37144278359847,32.55693853462799,13.173345533108659,42.9129174253394,50.42534373001399,46.63639448495087,15.005106332155265,42.84387828079707,51.6199349380513,46.18345703377781,9.357967363994248,41.893840305809135,48.44963125475988,46.04031167733774
2024-01-01,8.6,5.5,74.9,3.177,100.0,8.33,0.0,0.0,49.2,32.2,244.8,1006.8,61.1,20.0,13.4,1.2,1.0,10.0,0.58,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.9476576,7.3565717,14.820560747663551,13.487700859413597,45.785229614684795,18.005232191106188,25.189688420698076,52.3889897296649,32.68541746201299,13.924549239720363,42.78840290240623,50.49941296618272,46.394327012530994,15.73653117880167,42.74484501769257,51.63889789630048,45.84978929438148,10.14238350188316,41.681108356064215,48.541327868631925,45.785229614684795
2024-01-02,11.7,7.2,83.7,0.206,100.0,29.17,0.0,0.0,62.5,35.4,195.7,1004.5,81.3,14.6,10.0,0.9,1.0,10.0,0.61,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.7261996,7.915686,14.822429906542057,13.490244839773316,46.34086375368861,17.82807749420681,25.2483970514877,53.16989135326003,33.248486536223936,13.742866380220221,43.257965887034516,51.23990362399127,46.97128281805635,15.559649774630088,43.17150057645631,52.419317679501546,46.40580999599479,9.901462569614523,42.270748382943566,49.25047199711844,46.34086375368861
2024-01-03,10.0,5.5,81.8,7.999,100.0,41.67,0.0,0.0,67.0,40.1,221.2,988.9,83.7,15.9,15.5,1.4,2.0,10.0,0.64,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.114267,5.4792933,14.824299065420561,13.487731929561374,46.129824159561394,18.84573399034707,25.3633464527702,52.906501987836236,33.08173288173566,14.686044767397107,43.30065976102924,50.941252404329134,46.802761661241675,16.5399366870588,43.18837928548601,52.12646751938519,46.37113406381104,10.719461027154466,42.06114143223749,48.93479295731959,46.129824159561394
2024-01-04,8.0,5.4,80.3,1.636,100.0,33.33,0.0,0.0,53.6,30.2,225.3,999.3,64.2,13.3,20.0,1.9,2.0,10.0,0.68,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,7.907719,7.8100824,14.826168224299066,13.490214149091551,46.58219013982307,18.73534775881126,25.317602592142066,53.32173589443846,33.46914277848555,14.530223355795897,43.60868253714216,51.34496513051636,47.225242294414784,16.395335944896942,43.48103142387845,52.5424030358372,46.71068475630818,10.602558353260974,42.50287342305455,49.33727557666862,46.58219013982307
